features;importances
Alquiler_mes_vc_m2;0.7868048693100759
Total_vu;0.0395215475832958
Turistas;0.019080692838954572
Porcentaje_vu_alquiler;0.018539604987166107
Porcentaje_vc_alquiler;0.01834547679610099
Comunidad_autonoma;0.017965782049993707
Porcentaje_viviendas_alquiler;0.01762225130945776
Total_casas_alquiler;0.01685122372592701
Porcentaje_viviendas_turisticas;0.015789735399114498
Viviendas_turisticas;0.014403073416593092
Poblacion;0.013916494304071811
Inmuebles_totales;0.012156543555927907
Total_vc;0.009002704723321086
