;Codigo_provincia;Provincia;Codigo_municipio;Total_vc_2021;Total_vu_2021;Alquiler_mes_vc_m2_2021;Alquiler_mes_vu_m2_2021;Comunidad_autonoma;Poblacion_2021;Inmuebles_totales;Viviendas_turisticas_2021;Turistas_2021;Porcentaje_viviendas_turisticas_2021;Total_casas_alquiler_2021;Porcentaje_viviendas_alquiler_2021;Porcentaje_vc_alquiler_2021;Porcentaje_vu_alquiler_2021
Abadín;27;Lugo;27001;0.0;9.0;2.8216744173774844;2.2057685839005488;Galicia;2297.0;1662.0;10;2147;0.601684717208183;9.0;0.5415162454873647;0.0;0.5415162454873647
Abanilla;30;Murcia;30001;20.0;27.0;3.01635021097046;2.5;Murcia, Región de;6116.0;4483.0;34;23013;0.7584207004238234;47.0;1.0484050858799911;0.4461298237787196;0.6022752621012715
Abarán;30;Murcia;30002;193.0;52.0;3.0;2.87648538738657;Murcia, Región de;13066.0;6615.0;8;3356;0.1209372637944066;245.0;3.703703703703704;2.9176114890400604;0.7860922146636432
Abegondo;15;Coruña, A;15001;7.0;56.0;3.66003568353889;3.47360696517413;Galicia;5494.0;3127.0;17;4365;0.5436520626798849;63.0;2.014710585225456;0.2238567316917173;1.7908538535337384
Abrera;8;Barcelona;8001;383.0;140.0;7.14285714285714;7.05411915204678;Cataluña;12620.0;5344.0;24;43430;0.4491017964071856;523.0;9.786676646706589;7.166916167664671;2.619760479041916
Adamuz;14;Córdoba;14001;2.0;12.0;3.3556591234157507;2.50386635745874;Andalucía;4141.0;2030.0;0;2487;0.0;14.0;0.6896551724137931;0.0985221674876847;0.5911330049261084
Adeje;38;Santa Cruz de Tenerife;38001;1873.0;460.0;8.40909090909091;7.76819923371648;Canarias;48733.0;23023.0;6526;2018389;28.34556747600226;2333.0;10.13334491595361;8.135342917951613;1.998001998001998
Adra;4;Almería;4003;214.0;33.0;3.58571428571429;2.96052631578947;Andalucía;25501.0;12925.0;46;18357;0.3558994197292069;247.0;1.9110251450676985;1.655705996131528;0.2553191489361702
Adrada, La;5;Ávila;5002;66.0;65.0;3.1772819534359;3.67621527777778;Castilla y León;2757.0;3980.0;37;2255;0.9296482412060302;131.0;3.291457286432161;1.6582914572864322;1.6331658291457287
Agaete;35;Palmas, Las;35001;97.0;111.0;5.80336493987049;6.01701248461403;Canarias;5695.0;3042.0;412;32071;13.543721236028928;208.0;6.837606837606837;3.188691650230112;3.648915187376726
Agolada;36;Pontevedra;36020;5.0;6.0;4.185609799188884;3.105243304049866;Galicia;2228.0;1782.0;5;1937;0.2805836139169472;11.0;0.6172839506172839;0.2805836139169472;0.3367003367003367
Agost;3;Alicante;3002;63.0;29.0;2.88659793814433;3.2967032967033;Comunitat Valenciana;4906.0;2822.0;26;2562;0.9213323883770376;92.0;3.260099220411056;2.2324592487597448;1.0276399716513112
