;Total_vu;Alquiler_mes_vc_m2;Alquiler_mes_vu_m2;Comunidad_autonoma;Turistas;Porcentaje_vc_alquiler;Porcentaje_vu_alquiler
Abadín;9.0;2.8216744173774844;2.2057685839005488;12.0;2147;0.0;0.5415162454873647
Abanilla;27.0;3.01635021097046;2.5;15.0;23013;0.4461298237787196;0.6022752621012715
Abarán;52.0;3.0;2.87648538738657;15.0;3356;2.9176114890400604;0.7860922146636432
Abegondo;56.0;3.66003568353889;3.47360696517413;12.0;4365;0.2238567316917173;1.7908538535337384
Abrera;140.0;7.14285714285714;7.05411915204678;8.0;43430;7.166916167664671;2.619760479041916
Adamuz;12.0;3.3556591234157507;2.50386635745874;0.0;2487;0.0985221674876847;0.5911330049261084
Adeje;460.0;8.40909090909091;7.76819923371648;4.0;2018389;8.135342917951613;1.998001998001998
Adra;33.0;3.58571428571429;2.96052631578947;0.0;18357;1.655705996131528;0.2553191489361702
Adrada, La;65.0;3.1772819534359;3.67621527777778;6.0;2255;1.6582914572864322;1.6331658291457287
Agaete;111.0;5.80336493987049;6.01701248461403;4.0;32071;3.188691650230112;3.648915187376726
Agolada;6.0;4.185609799188884;3.105243304049866;12.0;1937;0.2805836139169472;0.3367003367003367
Agost;29.0;2.88659793814433;3.2967032967033;10.0;2562;2.2324592487597448;1.0276399716513112
Agramunt;24.0;3.85416666666667;2.90162461135312;8.0;1102;6.913827655310621;0.8016032064128257
Aguilar de Campoo;41.0;5.24747860840643;4.92424242424242;6.0;17180;6.870229007633588;0.9205208801077684
Aguilar de la Frontera;12.0;3.26056003796868;1.54946394468449;0.0;3056;0.6024960550853536;0.1721417300243867
Agullent;12.0;2.31465573262639;3.12787349824387;10.0;3916;1.859799713876967;0.8583690987124464
Agüimes;274.0;6.34016776573435;3.96825396825397;4.0;44021;9.985054444523522;1.950039143121486
Aielo de Malferit;10.0;2.39141982252218;2.06243469174504;10.0;1261;1.0362694300518134;0.4317789291882556
Aitona;18.0;3.7462675070028;2.7734375;8.0;1693;2.404274265360641;1.6028495102404274
Ajalvir;45.0;8.21917808219178;5.55555555555556;13.0;8867;27.71604938271605;2.7777777777777777
Alagón;101.0;4.86645299145299;3.50716282320056;1.0;3317;10.304158907510862;3.1346989447548106
Alaior;164.0;5.88916794871795;4.38969743465184;3.0;164877;6.822646901232363;2.9290944811573496
Alajeró;10.0;6.72659266409266;2.52171678030629;4.0;18423;3.170577045022194;0.6341154090044389
Alameda;13.0;5.801511378442833;2.58065591397849;0.0;635;0.3714403631861329;0.5365249690466364
Alameda de la Sagra;21.0;3.61717651627645;3.2520325203252;7.0;675;4.232804232804233;1.0101010101010102
Alaquàs;40.0;5.0;5.25139366170294;10.0;12997;7.332844477034865;0.266648890073995
Alaró;178.0;6.36302294197031;5.81860426520621;3.0;35206;5.614783226723525;6.325515280739161
