;Codigo_provincia;Provincia;Codigo_municipio;Total_vc_2020;Total_vu_2020;Alquiler_mes_vc_m2_2020;Alquiler_mes_vu_m2_2020;Total_vc_2021;Total_vu_2021;Alquiler_mes_vc_m2_2021;Alquiler_mes_vu_m2_2021;Comunidad_autonoma;Poblacion_2020;Poblacion_2021;Inmuebles_totales;Viviendas_turisticas_2020;Viviendas_turisticas_2021;Turistas_2020;Turistas_2021;Porcentaje_viviendas_turisticas_2020;Total_casas_alquiler_2020;Porcentaje_viviendas_alquiler_2020;Porcentaje_vc_alquiler_2020;Porcentaje_vu_alquiler_2020;Porcentaje_viviendas_turisticas_2021;Total_casas_alquiler_2021;Porcentaje_viviendas_alquiler_2021;Porcentaje_vc_alquiler_2021;Porcentaje_vu_alquiler_2021
Abadín;27;Lugo;27001;204.6153846153846;11.0;2.7938783308985915;1.34663443346647;0.0;9.0;2.8216744173774844;2.2057685839005488;Galicia;2322.0;2297.0;1662.0;5;10;3050;2147;0.3008423586040915;215.6153846153846;12.973248171804128;12.311394982875127;0.6618531889290012;0.601684717208183;9.0;0.5415162454873647;0.0;0.5415162454873647
Abanilla;30;Murcia;30001;15.0;22.0;3.03691106072058;1.54639175257732;20.0;27.0;3.01635021097046;2.5;Murcia, Región de;6097.0;6116.0;4483.0;18;34;15516;23013;0.40151684140084765;37.0;0.8253401739906313;0.3345973678340397;0.49074280615659155;0.7584207004238234;47.0;1.0484050858799911;0.4461298237787196;0.6022752621012715
Abarán;30;Murcia;30002;188.0;54.0;2.96116504854369;2.72727272727273;193.0;52.0;3.0;2.87648538738657;Murcia, Región de;13022.0;13066.0;6615.0;1;8;11442;3356;0.015117157974300832;242.0;3.6583522297808013;2.8420256991685564;0.8163265306122449;0.12093726379440665;245.0;3.7037037037037037;2.9176114890400604;0.7860922146636432
Abegondo;15;Coruña, A;15001;7.0;60.0;3.5857660396338327;3.2;7.0;56.0;3.66003568353889;3.47360696517413;Galicia;5398.0;5494.0;3127.0;8;17;1611;4365;0.25583626479053406;67.0;2.1426287176207226;0.2238567316917173;1.9187719859290053;0.5436520626798849;63.0;2.0147105852254557;0.2238567316917173;1.7908538535337384
Abrera;8;Barcelona;8001;374.0;153.0;6.78294573643411;6.73408307636496;383.0;140.0;7.14285714285714;7.05411915204678;Cataluña;12538.0;12620.0;5344.0;13;24;41960;43430;0.2432634730538922;527.0;9.861526946107784;6.998502994011976;2.8630239520958085;0.4491017964071856;523.0;9.786676646706587;7.166916167664671;2.6197604790419162
Adamuz;14;Córdoba;14001;3.0;12.0;3.3131299823142126;2.44052064440414;2.0;12.0;3.3556591234157507;2.50386635745874;Andalucía;4137.0;4141.0;2030.0;1;0;2040;2487;0.04926108374384237;15.0;0.7389162561576355;0.1477832512315271;0.5911330049261084;0.0;14.0;0.6896551724137931;0.09852216748768473;0.5911330049261084
Adeje;38;Santa Cruz de Tenerife;38001;1767.0;551.0;8.05427377773724;7.5220046854083;1873.0;460.0;8.40909090909091;7.76819923371648;Canarias;49030.0;48733.0;23023.0;3213;6526;1534955;2018389;13.95560960778352;2318.0;10.068192676888328;7.6749337618902835;2.393258914998045;28.34556747600226;2333.0;10.13334491595361;8.135342917951613;1.998001998001998
Adra;4;Almería;4003;193.0;29.0;3.49803921568627;2.581929236341;214.0;33.0;3.58571428571429;2.96052631578947;Andalucía;25412.0;25501.0;12925.0;25;46;23220;18357;0.19342359767891681;222.0;1.7176015473887813;1.493230174081238;0.22437137330754353;0.35589941972920697;247.0;1.9110251450676983;1.6557059961315281;0.2553191489361702
Adrada, La;5;Ávila;5002;62.0;59.0;3.02631578947368;3.4618399339934;66.0;65.0;3.1772819534359;3.67621527777778;Castilla y León;2539.0;2757.0;3980.0;16;37;679;2255;0.4020100502512563;121.0;3.040201005025126;1.5577889447236182;1.4824120603015076;0.9296482412060302;131.0;3.291457286432161;1.6582914572864322;1.6331658291457287
Agaete;35;Palmas, Las;35001;91.0;107.0;5.55555555555556;5.78328470814184;97.0;111.0;5.80336493987049;6.01701248461403;Canarias;5599.0;5695.0;3042.0;242;412;29035;32071;7.955292570677186;198.0;6.508875739644971;2.9914529914529915;3.517422748191979;13.543721236028928;208.0;6.837606837606837;3.188691650230112;3.648915187376726
